"source","frequency","target"
"access",34,"ufikeleleko"
"account",114,"iakhawunti"
"account settings",30,"imimiselo yeakhawunti"
"action",36,"inyathelo"
"actions",17,"amanyathelo"
"add",67,"fakela"
"additional",20,"okufakelwayo"
"address",197,"idilesi"
"address book",85,"incwadi yeedilesi"
"address books",19,"iincwadi zeedilesi"
"addresses",21,"iidilesi"
"administrator",37,"umlawuli"
"advanced",33,"osekugqithisiwe"
"again",115,"kwakhona"
"allowed",17,"okuvunyelwayo"
"application",65,"inkqubo"
"ask",33,"buza"
"ask me",24,"buza kum"
"associated",17,"okunxulunyanisiweyo"
"attachment",17,"isiqhoboshelo"
"attachments",23,"iziqhoboshelo"
"attribute",25,"uphawu loyelelwano"
"authentication",19,"okunokuthenjwa"
"authority",27,"igunya"
"auto",15,"okuzenzekelayo"
"automatically",38,"ngokuzenzekela"
"back",19,"emva"
"background",31,"okungasemva"
"backup",20,"ikopi egciniweyo"
"bar",21,"isixwexwe somgca"
"below",17,"ngezantsi"
"bit",31,"isuntsu"
"book",86,"incwadi"
"bookmark",54,"isalathisi sokuphawula"
"bookmarks",37,"izalathisi zokuphawula"
"books",19,"iincwadi"
"browse",27,"khangela"
"browser",46,"isikhangeli"
"browsing",20,"ukukhangela"
"button",21,"iqhosha"
"cancel",62,"rhoxisa"
"cannot",63,"akwenzeki"
"card",32,"ikhadi"
"CC",15,"iCC"
"cell",16,"iseli"
"center",18,"isizikithi"
"certificate",252,"isatifikethi"
"certificate authority",25,"isatifikethi"
"certificates",51,"izatifikethi"
"change",53,"inguquko"
"changes",16,"iinguquko"
"character",45,"umbhalo onjengonobumba"
"character encoding",19,"ukufakwa kweekhowudi kumbhalo onjengonobumba"
"check",111,"qwalasela"
"check for updates",15,"qwalasela amaxa ohlaziyo"
"checking",20,"kuyaqwalaselwa"
"chinese",18,"ngokwesitshayina"
"choose",127,"khetha"
"class",36,"udidi"
"clear",30,"gabula"
"click",171,"nqomfa"
"click ok",18,"nqomfa ukulungile"
"click to sort",46,"nqomfa ukuze uhlele"
"close",81,"vala"
"code",20,"ikhowudi"
"color",41,"umbala"
"colors",18,"imibala"
"compatible",16,"kuyangqinelana"
"complete",35,"gqibezela"
"components",39,"iinxalenye"
"computer",44,"ikhompyutha"
"configuration",18,"ubumbeko"
"confirm",20,"qinisekisa"
"connect",19,"nxulumanisa"
"connection",85,"unxulumaniso"
"contact",41,"qhagamshelana"
"contains",32,"kuqulethe"
"content",20,"isiqulatho"
"contents",20,"iziqulatho"
"continue",52,"qhuba"
"cookies",35,"iinkcukacha zee-cookie"
"copy",59,"ikopi"
"correct",37,"kuchanekile"
"correctly",15,"ngokuchanekileyo"
"create",59,"yila"
"created",16,"okuyiliweyo"
"custom",34,"zilungiselele"
"customize",16,"ukuzilungiselela"
"cut",16,"sika"
"data",71,"iinkcukacha zolwazi"
"date",25,"umhla"
"default",78,"okuhlala kukho"
"delete",126,"cima"
"deleted",21,"okucinyiweyo"
"description",18,"inkcazelo"
"details",24,"iinkcukacha"
"detected",17,"okuboniswa inguquko"
"digitally",15,"ngokwamanani"
"directory",82,"uvimba weefayili"
"disabled",28,"okususwe isakhono"
"disk",43,"idisk"
"disk space",28,"isithuba kwidisk"
"display",44,"bonisa"
"document",29,"uxwebhu"
"domain",27,"ummandla wolwazi"
